序号,书名,链接,作者,评分,评价人数,简介
33,平凡的世界（全三部）,路遥 / 人民文学出版社 / 2005-1 / 64.00元,9.0,328633,中国当代城乡生活全景,https://book.douban.com/subject/1200840/
34,笑傲江湖（全四册）,金庸 / 生活·读书·新知三联书店 / 1994-5 / 76.80元,9.1,113536,欲练此功，必先自宫,https://book.douban.com/subject/1002299/
35,献给阿尔吉侬的花束,[美] 丹尼尔·凯斯 / 陈澄和 / 广西师范大学出版社 / 2015-4 / 36.00元,9.1,116509,当声称能改造智能的科学实验选中心智障碍主角,https://book.douban.com/subject/26362836/
36,东方快车谋杀案,[英] 阿加莎·克里斯蒂 / 陈尧光 / 人民文学出版社 / 2006-5 / 18.00元,9.1,142887,谋杀诡计惊人，波洛的抉择耐人寻味,https://book.douban.com/subject/1827374/
37,肖申克的救赎,[美] 斯蒂芬·金 / 施寄青 / 人民文学出版社 / 2006-7 / 29.90元,9.1,123671,豆瓣电影Top1原著,https://book.douban.com/subject/1829226/
38,江城,[美] 彼得·海斯勒 / 李雪顺 / 上海译文出版社 / 2012-1 / 36.00元,9.1,65402,外国人眼中的涪陵,https://book.douban.com/subject/7060185/
39,城南旧事,林海音 文 / 中国青年出版社 / 2003-7 / 16.00元,9.1,161142,长亭外，古道边，芳草碧连天,https://book.douban.com/subject/1254588/
40,故事新编,鲁迅 / 人民文学出版社 / 1973-12-01 / 0.31 元,9.4,45429,拾取古代传说，取一点因由，随意点染,https://book.douban.com/subject/2046909/
41,基督山伯爵,[法国] 大仲马 / 周克希 / 上海译文出版社 / 1991-12-1 / 43.90元,9.1,131423,一个报恩复仇的故事，以法国波旁王朝和七月王朝为背景,https://book.douban.com/subject/1085860/
42,霍乱时期的爱情,[哥伦比亚] 加西亚·马尔克斯 / 杨玲 / 南海出版公司 / 2012-9-1 / 39.50元,9.0,292513,义无反顾地直达爱情的核心,https://book.douban.com/subject/10594787/
43,朝花夕拾,鲁迅 / 人民文学出版社 / 1973-4 / 0.25元,9.1,159341,在纷扰中寻出一点闲静,https://book.douban.com/subject/1449352/
