排名,书名,简介,作者,评分,评分人数,链接
60,中国少年儿童百科全书（全四册）,无简介,林崇德 主编 / 浙江教育出版社 / 1991-4 / 168.00元,9.4,19498人评价,https://book.douban.com/subject/1028409/
61,格林童话全集,一本有教育意义的书,[德国]格林兄弟 / 魏以新 / 人民文学出版社 / 1994-11 / 21.45元,9.0,97315人评价,https://book.douban.com/subject/1043008/
62,西游记（全二册）,神魔皆有人情，精魅亦通世故,吴承恩 / 黄肃秋 注释 / 人民文学出版社 / 2004-8 / 47.20元,9.1,93049人评价,https://book.douban.com/subject/1029553/
63,嫌疑人X的献身,数学好是一种极致的浪漫,[日] 东野圭吾 / 刘子倩 / 南海出版公司 / 2008-9 / 28.00,8.9,532680人评价,https://book.douban.com/subject/3211779/
64,黄金时代,我想爱，想吃，还想在一瞬间变成天上半明半暗的云,王小波 / 花城出版社 / 1999-3 / 19.00元,8.9,169502人评价,https://book.douban.com/subject/1089243/
65,史记（全十册）,史家之绝唱，无韵之离骚,司马迁 / （索隐）司马贞，（正义）张守节 / 中华书局 / 1982-11 / 125.00,9.6,25677人评价,https://book.douban.com/subject/1077847/
66,太白金星有点烦,无简介,马伯庸 / 湖南文艺出版社 / 2023-6 / 45.00,9.0,110024人评价,https://book.douban.com/subject/36328704/
67,傲慢与偏见,所有现代言情小说的母体,[英] 奥斯丁 / 张玲 / 人民文学出版社 / 1993-7 / 13.00元,8.9,236239人评价,https://book.douban.com/subject/1083428/
68,鼠疫,用别样的监禁生活再现某种监禁生活，与用不存在的事表现真事同等合理,[法] 阿尔贝·加缪 / 刘方 / 上海译文出版社 / 2013-8 / 34.00元,9.1,84123人评价,https://book.douban.com/subject/24257229/
69,悲惨世界（上中下）,现实主义与浪漫主义的至高杰作,[法] 雨果 / 李丹 / 人民文学出版社 / 1992-6 / 66.00元,9.1,64877人评价,https://book.douban.com/subject/1205054/
70,可能性的艺术,无简介,刘瑜 / 广西师范大学出版社 / 2022-4 / 82.00元,9.1,43953人评价,https://book.douban.com/subject/35819419/
71,永恒的终结,关于时间旅行的终极奥秘和恢宏构想,[美] 艾萨克·阿西莫夫 / 崔正男 / 江苏凤凰文艺出版社 / 2014-9 / 32.00元,9.1,49828人评价,https://book.douban.com/subject/25829693/
72,台北人,白先勇短篇小说集,白先勇 / 广西师范大学出版社 / 2010-10 / 38.00元,9.0,76832人评价,https://book.douban.com/subject/5337248/
